Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,3,C. Palmer QB - ARI ,24.58,L. McCoy RB - BUF ,18.30,C. West RB - KC ,6.40,S. Johnson WR - LAC ,5.40,D. Hopkins WR - HOU ,23.80,D. Walker TE - TEN ,10.90,C. Johnson RB - ARI ,6.50,J. Tucker K - BAL ,10.00,Chiefs DEF ,20.00,D. Williams RB - PIT ,0.00,A. Gates TE - LAC ,0.60,T. Romo QB - DAL ,13.28,R. Hillman RB - DEN ,10.40,O. Beckham WR - NYG ,0.00,Texans DEF ,8.00,125.88,Simi,87.70
Erik,2,C. Newton QB - CAR ,31.44,C. Ivory RB - NYJ ,4.50,L. Miller RB - MIA ,5.50,D. Thomas WR - DEN ,11.90,T. Austin WR - STL ,0.10,J. Reed TE - WAS ,2.60,L. Murray RB - LV ,8.80,S. Gostkowski K - NE ,8.00,Rams DEF ,6.00,M. Ryan QB - ATL ,17.90,M. Ingram RB - NO ,0.00,B. Roethlisberger QB - PIT ,0.00,A. Brown WR - PIT ,0.00,T. Hilton WR - IND ,2.10,T. Kelce TE - KC ,4.60,78.84,Kessi,110.28
Ritz,4,P. Rivers QB - LAC ,5.92,J. Forsett RB - BAL ,2.60,G. Bernard RB - CIN ,14.60,R. Cobb WR - GB ,8.40,D. Adams WR - GB ,3.60,R. Gronkowski TE - NE ,3.70,J. Langford RB - CHI ,10.20,D. Carpenter K - BUF ,9.00,Panthers DEF ,16.00,M. Crabtree WR - LV ,5.00,J. Maclin WR - KC ,2.90,M. Floyd WR - ARI ,0.00,R. Tannehill QB - MIA ,14.82,C. Hyde RB - SF ,0.00,J. White RB - NE ,16.60,74.02,Juschka,49.78
Marv,8,A. Rodgers QB - GB ,19.08,D. McFadden RB - DAL ,14.90,F. Gore RB - IND ,6.00,C. Johnson WR - DET ,8.80,L. Fitzgerald WR - ARI ,9.00,J. Graham TE - SEA ,3.90,B. Marshall WR - NYJ ,10.70,D. Bailey K - DAL ,6.00,Jets DEF ,3.00,R. Mathews RB - PHI ,0.00,B. Watson TE - NO ,0.00,E. Lacy RB - GB ,10.60,B. Cooks WR - NO ,0.00,M. Bryant WR - PIT ,0.00,Eagles DEF ,-1.00,81.38,Tommy,85.10
Simi,5,R. Wilson QB - SEA ,25.40,D. Woodhead RB - LAC ,1.60,D. Martin RB - TB ,23.50,A. Green WR - CIN ,7.90,A. Cooper WR - LV ,0.40,M. Bennett TE - CHI ,2.60,A. Robinson WR - JAC ,11.30,C. Santos K - KC ,9.00,Seahawks DEF ,6.00,M. Forte RB - CHI ,0.00,J. Witten TE - DAL ,2.70,E. Manning QB - NYG ,0.00,T. Benjamin WR - CLE ,0.00,D. Green-Beckham WR - TEN ,4.00,J. Brown K - NYG ,0.00,87.70,Benni,125.88
Tommy,6,A. Dalton QB - CIN ,22.00,D. Murray RB - PHI ,7.10,A. Peterson RB - MIN ,10.10,D. Bryant WR - DAL ,10.50,M. Evans WR - TB ,12.30,C. Clay TE - BUF ,1.40,D. Amendola WR - NE ,11.70,S. Hauschka K - SEA ,5.00,Cardinals DEF ,5.00,A. Luck QB - IND ,0.00,A. Jeffery WR - CHI ,0.00,S. Watkins WR - BUF ,3.90,D. Carr QB - LV ,7.56,J. Brown WR - ARI ,11.20,Bills DEF ,4.00,85.10,Marv,81.38
Juschka,7,B. Bortles QB - JAC ,10.58,L. Blount RB - NE ,6.10,D. Freeman RB - ATL ,4.30,J. Landry WR - MIA ,6.60,A. Hurns WR - JAC ,1.90,R. Rodgers TE - GB ,0.70,S. Diggs WR - MIN ,6.60,B. McManus K - DEN ,5.00,Patriots DEF ,8.00,J. Stewart RB - CAR ,17.40,G. Barnidge TE - CLE ,0.00,M. Lynch RB - SEA ,0.00,D. Brees QB - NO ,0.00,W. Snead WR - NO ,0.00,K. Williams RB - BUF ,1.10,49.78,Ritz,74.02
Kessi,1,T. Brady QB - NE ,13.08,J. Hill RB - CIN ,16.50,T. Gurley RB - STL ,10.60,E. Sanders WR - DEN ,0.00,J. Jones WR - ATL ,16.00,T. Eifert TE - CIN ,14.20,J. Jones WR - GB ,18.90,G. Gano K - CAR ,14.00,Broncos DEF ,7.00,J. Starks RB - GB ,4.40,E. Decker WR - NYJ ,8.10,B. LaFell WR - NE ,6.60,G. Olsen TE - CAR ,11.40,N. Washington WR - HOU ,1.30,L. Bell RB - PIT ,0.00,110.28,Erik,78.84
