Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,2,C. Palmer QB - ARI ,14.96,L. McCoy RB - BUF ,3.70,D. Williams RB - PIT ,11.60,D. Hopkins WR - HOU ,9.40,O. Beckham WR - NYG ,13.60,D. Walker TE - TEN ,18.40,D. Baldwin WR - SEA ,16.50,C. Santos K - KC ,12.00,Chiefs DEF ,21.00,T. Hightower RB - NO ,8.50,R. Hillman RB - DEN ,2.80,B. Brown RB - SEA ,4.30,M. Wheaton WR - PIT ,12.20,J. Brown WR - ARI ,9.80,C. West RB - KC ,14.50,121.16,Ritz,71.24
Erik,5,C. Newton QB - CAR ,41.60,L. Miller RB - MIA ,2.40,D. Johnson RB - ARI ,40.90,A. Brown WR - PIT ,30.90,T. Hilton WR - IND ,2.90,J. Reed TE - WAS ,20.40,C. Ivory RB - NYJ ,4.20,S. Gostkowski K - NE ,15.00,Steelers DEF ,6.00,D. Thomas WR - DEN ,18.10,S. Draughn RB - SF ,4.20,B. Roethlisberger QB - PIT ,22.90,D. Robinson RB - JAC ,8.70,T. Kelce TE - KC ,7.30,Rams DEF ,4.00,164.30,Juschka,103.44
Ritz,3,P. Rivers QB - LAC ,20.44,G. Bernard RB - CIN ,5.10,J. Allen RB - BAL ,-0.20,J. Maclin WR - KC ,11.00,T. Lockett WR - SEA ,11.50,R. Gronkowski TE - NE ,11.40,M. Floyd WR - ARI ,7.00,D. Carpenter K - BUF ,5.00,Panthers DEF ,0.00,R. Cobb WR - GB ,5.80,M. Colston WR - NO ,9.90,R. Tannehill QB - MIA ,15.04,E. Ebron TE - DET ,7.90,C. Sims RB - TB ,7.20,J. Langford RB - CHI ,5.70,71.24,Benni,121.16
Marv,7,A. Rodgers QB - GB ,10.06,E. Lacy RB - GB ,2.30,L. Murray RB - LV ,8.00,C. Johnson WR - DET ,1.90,B. Marshall WR - NYJ ,7.40,J. Thomas TE - JAC ,7.90,L. Fitzgerald WR - ARI ,4.30,C. Catanzaro K - ARI ,10.00,Patriots DEF ,18.00,D. McFadden RB - DAL ,11.30,M. Stafford QB - DET ,22.06,B. Watson TE - NO ,10.90,F. Gore RB - IND ,5.90,B. Cooks WR - NO ,18.40,T. Yeldon RB - JAC ,0.00,69.86,Tommy,102.08
Simi,4,R. Wilson QB - SEA ,26.56,D. Woodhead RB - LAC ,30.00,D. Martin RB - TB ,9.70,A. Green WR - CIN ,3.70,A. Robinson WR - JAC ,11.70,R. Rodgers TE - GB ,0.70,M. Forte RB - CHI ,16.40,J. Brown K - NYG ,5.00,Seahawks DEF ,9.00,M. Bennett TE - CHI ,0.00,T. Benjamin WR - CLE ,3.50,C. Anderson RB - DEN ,2.00,A. Cooper WR - LV ,24.00,D. Green-Beckham WR - TEN ,11.30,T. Rawls RB - SEA ,0.00,112.76,Kessi,115.48
Tommy,6,A. McCarron QB - CIN ,11.88,D. Murray RB - PHI ,0.30,A. Peterson RB - MIN ,6.30,S. Watkins WR - BUF ,23.10,M. Evans WR - TB ,15.70,A. Gates TE - LAC ,8.80,A. Jeffery WR - CHI ,7.00,S. Hauschka K - SEA ,12.00,Cardinals DEF ,17.00,D. Amendola WR - NE ,-1.70,D. Bryant WR - DAL ,11.00,C. Clay TE - BUF ,0.00,A. Luck QB - IND ,0.00,S. Ware RB - KC ,0.00,M. Bryant WR - PIT ,8.70,102.08,Marv,69.86
Juschka,8,D. Brees QB - NO ,26.74,B. Bolden RB - NE ,5.40,D. Freeman RB - ATL ,16.10,J. Landry WR - MIA ,5.40,A. Hurns WR - JAC ,4.40,G. Barnidge TE - CLE ,8.90,T. Ginn WR - CAR ,20.50,B. McManus K - DEN ,3.00,Bengals DEF ,13.00,J. Stewart RB - CAR ,0.00,D. Jackson WR - WAS ,21.30,J. Edelman WR - NE ,0.00,B. Bortles QB - JAC ,24.28,J. White RB - NE ,13.70,S. Diggs WR - MIN ,17.50,103.44,Erik,164.30
Kessi,1,T. Brady QB - NE ,18.68,J. Hill RB - CIN ,13.10,T. Gurley RB - STL ,13.90,E. Decker WR - NYJ ,11.50,J. Jones WR - ATL ,17.80,T. Eifert TE - CIN ,0.00,E. Sanders WR - DEN ,26.50,G. Gano K - CAR ,8.00,Broncos DEF ,6.00,J. Starks RB - GB ,3.60,B. LaFell WR - NE ,8.80,G. Olsen TE - CAR ,13.90,N. Washington WR - HOU ,1.80,J. Jones WR - GB ,14.20,L. Bell RB - PIT ,0.00,115.48,Simi,112.76
