Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,6,C. Palmer QB - ARI ,16.74,D. Lewis RB - NE ,3.90,C. West RB - KC ,1.90,K. Allen WR - LAC ,15.70,D. Hopkins WR - HOU ,26.80,A. Gates TE - LAC ,9.50,O. Beckham WR - NYG ,12.10,J. Tucker K - BAL ,8.00,Packers DEF ,6.00,L. McCoy RB - BUF ,15.40,E. Manning QB - NYG ,8.76,R. Hillman RB - DEN ,11.50,C. Michael RB - SEA ,0.00,J. Randle RB ,0.00,D. Moncrief WR - IND ,12.90,100.64,Juschka,127.18
Erik,2,M. Ryan QB - ATL ,18.80,L. Blount RB - NE ,22.40,I. Crowell RB - CLE ,4.10,D. Thomas WR - DEN ,11.10,A. Brown WR - PIT ,2.40,T. Kelce TE - KC ,8.80,J. Edelman WR - NE ,11.20,S. Gostkowski K - NE ,10.00,Eagles DEF ,19.00,D. McFadden RB - DAL ,0.00,J. Thomas TE - JAC ,13.80,B. Roethlisberger QB - PIT ,0.00,T. Hilton WR - IND ,13.40,L. Murray RB - LV ,0.00,Rams DEF ,0.00,107.80,Simi,86.74
Ritz,4,P. Rivers QB - LAC ,28.12,J. Forsett RB - BAL ,10.10,A. Foster RB - HOU ,17.20,J. Maclin WR - KC ,4.80,R. Cobb WR - GB ,3.80,R. Gronkowski TE - NE ,11.00,C. Hyde RB - SF ,6.00,M. Crosby K - GB ,9.00,Panthers DEF ,4.00,M. Floyd WR - ARI ,11.00,R. Tannehill QB - MIA ,16.04,G. Bernard RB - CIN ,13.30,C. Anderson RB - DEN ,6.60,A. Abdullah RB - DET ,6.90,M. Gordon RB - LAC ,0.90,94.02,Marv,86.50
Marv,5,A. Rodgers QB - GB ,19.60,F. Gore RB - IND ,9.40,E. Lacy RB - GB ,2.00,B. Marshall WR - NYJ ,15.10,L. Fitzgerald WR - ARI ,9.30,J. Graham TE - SEA ,14.00,B. Cooks WR - NO ,4.10,C. Catanzaro K - ARI ,7.00,Jets DEF ,6.00,C. Johnson RB - ARI ,4.50,C. Newton QB - CAR ,19.76,C. Johnson WR - DET ,22.60,V. Jackson WR - TB ,0.00,J. Landry WR - MIA ,12.60,R. Rodgers TE - GB ,3.40,86.50,Ritz,94.02
Simi,3,R. Wilson QB - SEA ,18.94,M. Forte RB - CHI ,16.90,D. Woodhead RB - LAC ,7.10,A. Green WR - CIN ,3.60,T. Benjamin WR - CLE ,11.70,M. Bennett TE - CHI ,5.90,A. Robinson WR - JAC ,14.60,J. Brown K - NYG ,1.00,Seahawks DEF ,7.00,J. Witten TE - DAL ,0.00,D. Martin RB - TB ,0.00,A. Cooper WR - LV ,0.00,D. Green-Beckham WR - TEN ,5.70,D. Johnson RB - ARI ,1.70,Patriots DEF ,3.00,86.74,Erik,107.80
Tommy,7,A. Luck QB - IND ,27.98,D. Murray RB - PHI ,18.60,A. Peterson RB - MIN ,5.70,A. Jeffery WR - CHI ,20.70,J. Brown WR - ARI ,17.60,C. Clay TE - BUF ,6.20,P. Garcon WR - WAS ,8.80,S. Hauschka K - SEA ,13.00,Cardinals DEF ,1.00,D. Jackson WR - WAS ,0.00,D. Bryant WR - DAL ,0.00,S. Watkins WR - BUF ,10.80,M. Evans WR - TB ,0.00,M. Mariota QB - TEN ,4.76,T. Yeldon RB - JAC ,0.00,119.58,Kessi,100.88
Juschka,8,D. Brees QB - NO ,16.68,M. Ingram RB - NO ,17.60,D. Freeman RB - ATL ,27.60,S. Smith WR - BAL ,19.70,M. Wallace WR - MIN ,2.30,G. Barnidge TE - CLE ,15.90,M. Lynch RB - SEA ,11.40,B. McManus K - DEN ,14.00,Lions DEF ,2.00,R. Mathews RB - PHI ,4.60,T. Taylor QB - BUF ,0.00,C. Ivory RB - NYJ ,25.60,T. Austin WR - STL ,0.00,J. Matthews WR - PHI ,3.90,B. Sankey RB - TEN ,2.00,127.18,Benni,100.64
Kessi,1,T. Brady QB - NE ,22.48,A. Ellington RB - ARI ,5.40,L. Bell RB - PIT ,8.80,E. Sanders WR - DEN ,16.90,J. Jones WR - ATL ,9.30,T. Eifert TE - CIN ,9.00,J. Jones WR - GB ,9.00,M. Bryant K - ATL ,3.00,Broncos DEF ,17.00,E. Decker WR - NYJ ,9.90,A. Dalton QB - CIN ,21.52,G. Olsen TE - CAR ,19.10,J. Hill RB - CIN ,12.90,T. Gurley RB - STL ,0.00,Vikings DEF ,8.00,100.88,Tommy,119.58
