Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,2,C. Palmer QB - ARI ,16.60,D. Williams RB - PIT ,25.30,C. West RB - KC ,6.10,D. Baldwin WR - SEA ,17.80,D. Hopkins WR - HOU ,17.70,D. Walker TE - TEN ,5.90,T. Hightower RB - NO ,28.90,C. Boswell K - PIT ,5.00,Chiefs DEF ,6.00,J. Charles RB - KC ,0.00,J. Nelson WR - GB ,0.00,A. Foster RB - HOU ,0.00,K. Benjamin WR - CAR ,0.00,O. Beckham WR - NYG ,0.00,K. White WR - CHI ,0.00,129.30,Kessi,95.44
Erik,5,C. Newton QB - CAR ,14.28,C. Artis-Payne RB - CAR ,5.60,D. Johnson RB - ARI ,18.70,A. Brown WR - PIT ,6.10,T. Hilton WR - IND ,6.40,J. Reed TE - WAS ,24.90,D. Robinson RB - JAC ,7.00,S. Gostkowski K - NE ,8.00,Steelers DEF ,2.00,T. Tebow QB ,0.00,D. Thomas WR - DEN ,5.90,C. Kaepernick QB - SF ,0.00,M. Ingram RB - NO ,0.00,S. Smith WR - BAL ,0.00,B. Roethlisberger QB - PIT ,4.50,92.98,Tommy,102.40
Ritz,3,P. Rivers QB - LAC ,15.08,G. Bernard RB - CIN ,4.30,J. Allen RB - BAL ,17.20,J. Maclin WR - KC ,10.90,T. Lockett WR - SEA ,3.30,R. Gronkowski TE - NE ,8.60,R. Cobb WR - GB ,1.70,D. Carpenter K - BUF ,4.00,Panthers DEF ,5.00,M. Colston WR - NO ,0.00,M. Floyd WR - ARI ,11.10,R. Tannehill QB - MIA ,13.96,E. Ebron TE - DET ,4.90,C. Sims RB - TB ,17.70,J. Langford RB - CHI ,8.30,70.08,Simi,84.36
Marv,7,M. Stafford QB - DET ,21.14,D. McFadden RB - DAL ,9.80,L. Murray RB - LV ,17.70,B. Marshall WR - NYJ ,23.50,B. Cooks WR - NO ,19.30,J. Thomas TE - JAC ,1.20,F. Gore RB - IND ,21.50,C. Catanzaro K - ARI ,8.00,Texans DEF ,22.00,C. Johnson WR - DET ,13.70,L. Fitzgerald WR - ARI ,8.90,B. Watson TE - NO ,0.50,A. Rodgers QB - GB ,7.94,E. Lacy RB - GB ,14.80,T. Yeldon RB - JAC ,0.00,144.14,Juschka,96.58
Simi,4,R. Wilson QB - SEA ,19.36,D. Woodhead RB - LAC ,10.80,D. Martin RB - TB ,7.50,A. Green WR - CIN ,11.70,A. Robinson WR - JAC ,21.10,R. Rodgers TE - GB ,0.20,M. Forte RB - CHI ,7.70,J. Brown K - NYG ,5.00,Seahawks DEF ,1.00,M. Bennett TE - CHI ,0.00,T. Benjamin WR - CLE ,2.00,C. Anderson RB - DEN ,12.10,A. Cooper WR - LV ,1.00,D. Green-Beckham WR - TEN ,0.00,T. Rawls RB - SEA ,0.00,84.36,Ritz,70.08
Tommy,6,J. Winston QB - TB ,18.80,D. Murray RB - PHI ,11.10,A. Peterson RB - MIN ,17.90,S. Watkins WR - BUF ,8.40,M. Evans WR - TB ,6.10,A. Gates TE - LAC ,1.10,M. Bryant WR - PIT ,1.00,S. Hauschka K - SEA ,5.00,Cardinals DEF ,33.00,D. Amendola WR - NE ,0.00,D. Bryant WR - DAL ,0.00,C. Clay TE - BUF ,0.00,A. Luck QB - IND ,0.00,A. Jeffery WR - CHI ,0.00,S. Ware RB - KC ,1.50,102.40,Erik,92.98
Juschka,8,D. Brees QB - NO ,28.18,D. Freeman RB - ATL ,15.00,J. White RB - NE ,9.20,T. Ginn WR - CAR ,0.90,S. Diggs WR - MIN ,1.90,G. Barnidge TE - CLE ,4.70,A. Hurns WR - JAC ,22.70,B. McManus K - DEN ,8.00,Bengals DEF ,6.00,J. Stewart RB - CAR ,0.00,D. Jackson WR - WAS ,4.00,J. Edelman WR - NE ,0.00,B. Bolden RB - NE ,6.00,B. Bortles QB - JAC ,29.22,J. Landry WR - MIA ,11.10,96.58,Marv,144.14
Kessi,1,T. Brady QB - NE ,11.14,J. Hill RB - CIN ,6.10,T. Gurley RB - STL ,15.00,E. Decker WR - NYJ ,10.70,J. Jones WR - ATL ,23.80,G. Olsen TE - CAR ,4.00,E. Sanders WR - DEN ,12.70,G. Gano K - CAR ,7.00,Broncos DEF ,5.00,J. Starks RB - GB ,-0.90,B. LaFell WR - NE ,2.80,N. Washington WR - HOU ,10.20,J. Jones WR - GB ,6.60,T. Eifert TE - CIN ,0.00,L. Bell RB - PIT ,0.00,95.44,Benni,129.30
