Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,7,C. Palmer QB - ARI ,29.56,C. Johnson RB - ARI ,6.90,D. Lewis RB - NE ,17.20,D. Hopkins WR - HOU ,15.40,O. Beckham WR - NYG ,31.00,A. Gates TE - LAC ,5.60,K. Allen WR - LAC ,9.50,J. Tucker K - BAL ,17.00,Packers DEF ,2.00,L. McCoy RB - BUF ,0.00,T. Taylor QB - BUF ,0.00,L. Green TE - LAC ,1.00,M. Jones WR - CIN ,1.40,R. Hillman RB - DEN ,17.50,C. West RB - KC ,18.20,134.16,Erik,107.88
Erik,2,M. Ryan QB - ATL ,20.08,M. Ingram RB - NO ,11.90,C. Ivory RB - NYJ ,4.10,D. Thomas WR - DEN ,16.80,A. Brown WR - PIT ,10.70,T. Kelce TE - KC ,10.90,L. Miller RB - MIA ,9.40,S. Gostkowski K - NE ,12.00,Rams DEF ,12.00,J. Edelman WR - NE ,20.10,B. Roethlisberger QB - PIT ,8.48,T. Hilton WR - IND ,1.50,J. Reed TE - WAS ,0.00,L. Murray RB - LV ,11.90,Patriots DEF ,15.00,107.88,Benni,134.16
Ritz,4,P. Rivers QB - LAC ,24.04,J. Forsett RB - BAL ,7.40,G. Bernard RB - CIN ,3.40,J. Maclin WR - KC ,9.50,R. Cobb WR - GB ,3.70,R. Gronkowski TE - NE ,17.30,A. Abdullah RB - DET ,0.30,M. Crosby K - GB ,6.00,Panthers DEF ,10.00,D. Amendola WR - NE ,1.10,M. Floyd WR - ARI ,16.60,R. Tannehill QB - MIA ,7.90,D. Adams WR - GB ,0.80,C. Hyde RB - SF ,0.00,M. Gordon RB - LAC ,6.10,81.64,Kessi,100.24
Marv,6,A. Rodgers QB - GB ,6.18,F. Gore RB - IND ,9.20,E. Lacy RB - GB ,10.70,B. Marshall WR - NYJ ,10.80,L. Fitzgerald WR - ARI ,12.40,J. Graham TE - SEA ,7.50,C. Johnson WR - DET ,8.50,C. Catanzaro K - ARI ,10.00,Jets DEF ,-1.00,D. McFadden RB - DAL ,11.30,C. Newton QB - CAR ,18.02,B. Watson TE - NO ,20.70,B. Cooks WR - NO ,20.50,M. Bryant WR - PIT ,4.90,A. Blue RB - HOU ,7.20,74.28,Juschka,121.00
Simi,3,R. Wilson QB - SEA ,13.60,M. Forte RB - CHI ,6.90,D. Martin RB - TB ,7.80,A. Green WR - CIN ,17.80,A. Cooper WR - LV ,4.80,M. Bennett TE - CHI ,3.20,D. Woodhead RB - LAC ,4.50,J. Brown K - NYG ,7.00,Seahawks DEF ,5.00,J. Witten TE - DAL ,1.60,T. Benjamin WR - CLE ,2.60,A. Robinson WR - JAC ,0.00,D. Green-Beckham WR - TEN ,1.20,D. Johnson RB - ARI ,4.80,Eagles DEF ,0.00,70.60,Tommy,70.34
Tommy,8,A. Luck QB - IND ,14.74,A. Peterson RB - MIN ,10.90,D. Johnson RB - CLE ,7.10,A. Jeffery WR - CHI ,17.60,M. Evans WR - TB ,4.80,L. Donnell TE - NYG ,2.20,J. Brown WR - ARI ,0.00,S. Hauschka K - SEA ,7.00,Cardinals DEF ,6.00,D. Bryant WR - DAL ,1.20,C. Clay TE - BUF ,0.00,A. Dalton QB - CIN ,9.64,D. Murray RB - PHI ,0.00,S. Watkins WR - BUF ,0.00,T. Yeldon RB - JAC ,0.00,70.34,Simi,70.60
Juschka,5,D. Brees QB - NO ,44.30,L. Blount RB - NE ,7.40,D. Freeman RB - ATL ,13.10,S. Smith WR - BAL ,8.20,S. Diggs WR - MIN ,15.50,G. Barnidge TE - CLE ,11.30,M. Lynch RB - SEA ,8.20,B. McManus K - DEN ,11.00,Falcons DEF ,2.00,J. Stewart RB - CAR ,12.30,J. Thomas TE - JAC ,0.00,T. Austin WR - STL ,21.90,B. Bortles QB - JAC ,0.00,J. Landry WR - MIA ,7.10,A. Hurns WR - JAC ,0.00,121.00,Marv,74.28
Kessi,1,T. Brady QB - NE ,30.34,L. Bell RB - PIT ,5.80,T. Gurley RB - STL ,20.60,J. Jones WR - ATL ,20.20,J. Jones WR - GB ,0.20,T. Eifert TE - CIN ,3.90,E. Sanders WR - DEN ,2.20,M. Bryant K - ATL ,8.00,Broncos DEF ,9.00,E. Decker WR - NYJ ,12.00,B. LaFell WR - NE ,4.70,G. Olsen TE - CAR ,13.90,N. Washington WR - HOU ,13.40,A. Ellington RB - ARI ,0.00,J. Hill RB - CIN ,6.80,100.24,Ritz,81.64
