Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,4,J. Allen QB - BUF ,36.00,D. Johnson RB - HOU ,1.60,D. Henry RB - TEN ,6.80,B. Cooks WR - HOU ,14.30,A. Brown WR - TEN ,16.10,M. Andrews TE - BAL ,2.20,A. Gibson RB - WAS ,9.50,R. Succop K - TB ,3.00,Texans DEF ,4.00,A. Brown WR - TB ,3.10,R. Woods WR - LA ,0.00,L. Jackson QB - BAL ,18.60,N. Chubb RB - CLE ,0.00,D. Johnson WR - PIT ,8.10,R. Bullock K - CIN ,0.00,93.50,Erik,97.92
Erik,5,K. Murray QB - ARI ,37.92,C. McCaffrey RB - CAR ,27.10,D. Montgomery RB - CHI ,2.20,A. Robinson WR - CHI ,8.10,M. Thomas WR - NO ,5.10,N. Fant TE - DEN ,4.50,J. Conner RB - PIT ,2.00,J. Tucker K - BAL ,6.00,Football Team DEF ,5.00,T. Boyd WR - CIN ,0.00,C. Godwin WR - TB ,4.10,C. Ridley WR - ATL ,0.00,D. Goedert TE - PHI ,0.00,M. Sanders RB - PHI ,0.00,D. Dallas RB - SEA ,9.90,97.92,Benni,93.50
Ritz,7,A. Rodgers QB - GB ,28.90,A. Jones RB - GB ,7.90,J. Dobbins RB - BAL ,3.50,D. Hopkins WR - ARI ,3.00,S. Diggs WR - BUF ,11.80,R. Gronkowski TE - TB ,0.20,K. Allen WR - LAC ,16.30,H. Butker K - KC ,11.00,Buccaneers DEF ,1.00,M. Ryan QB - ATL ,22.36,M. Evans WR - TB ,6.40,K. Drake RB - ARI ,0.00,K. Hunt RB - CLE ,0.00,D. Henderson RB - LA IR ,0.00,Colts DEF ,5.00,83.60,Juschka,109.18
Marv,1,J. Herbert QB - LAC ,23.44,D. Cook RB - MIN ,37.20,J. Robinson RB - JAX ,15.90,T. McLaurin WR - WAS ,17.50,D. Metcalf WR - SEA ,16.80,T. Kelce TE - KC ,15.90,C. Edmonds RB - ARI ,8.80,W. Lutz K - NO ,8.00,Ravens DEF ,14.00,R. Tannehill QB - TEN ,14.62,M. Gordon RB - DEN ,2.70,K. Golladay WR - DET ,0.00,C. Carson RB - SEA ,0.00,M. Gaskin RB - MIA ,0.00,D. Samuel WR - SF ,0.00,157.54,Tommy,74.66
Simi,6,R. Wilson QB - SEA ,22.10,D. Swift RB - DET ,9.70,J. Hasty RB - SF IR ,1.30,J. Jones WR - ATL ,11.40,T. Lockett WR - SEA ,4.00,J. Cook TE - NO ,1.00,W. Fuller WR - HOU ,16.00,D. Carlson K - LV ,7.00,Steelers DEF ,7.00,R. Mostert RB - SF IR ,0.00,L. Fournette RB - TB ,4.10,J. Mixon RB - CIN IR ,0.00,J. Smith-Schuster WR - PIT ,15.30,B. Scott RB - PHI ,0.00,T. Fulgham WR - PHI ,0.00,79.50,Kessi,105.24
Tommy,8,T. Brady QB - TB ,2.36,R. Jones RB - TB ,1.80,C. Edwards-Helaire RB - KC ,9.40,T. Hill WR - KC ,24.10,C. Claypool WR - PIT ,7.30,T. Hockenson TE - DET ,9.90,Z. Moss RB - BUF IR ,10.80,M. Badgley K - LAC ,8.00,Chiefs DEF ,1.00,A. Cooper WR - DAL ,7.50,R. Anderson WR - CAR ,6.30,A. Ekeler RB - LAC ,0.00,T. Higgins WR - CIN ,0.00,C. Lamb WR - DAL ,11.10,B. Aiyuk WR - SF ,0.00,74.66,Marv,157.54
Juschka,2,P. Mahomes QB - KC ,31.48,A. Kamara RB - NO ,10.90,J. Jacobs RB - LV ,12.80,A. Thielen WR - MIN ,3.80,J. Jefferson WR - MIN ,6.40,D. Waller TE - LV ,8.20,D. Chark WR - JAX ,20.60,Y. Koo K - ATL ,12.00,Patriots DEF ,3.00,A. Peterson RB - DET ,4.30,J. Landry WR - CLE ,0.00,M. Davis RB - CAR ,3.70,C. Davis WR - TEN ,0.00,C. Kupp WR - LA ,0.00,D. Singletary RB - BUF ,3.40,109.18,Ritz,83.60
Kessi,3,D. Watson QB - HOU ,24.24,E. Elliott RB - DAL ,6.90,P. Lindsay RB - DEN IR ,2.30,D. Adams WR - GB ,23.30,J. Jeudy WR - DEN ,18.50,R. Tonyan TE - GB ,0.50,T. Gurley RB - ATL ,11.50,S. Gostkowski K - TEN ,6.00,Bills DEF ,12.00,D. Bryant WR - BAL ,0.00,M. Ingram RB - BAL ,0.00,J. Crowder WR - NYJ ,8.60,A. Lazard WR - GB ,0.00,D. Moore WR - CAR ,1.80,J. Taylor RB - IND ,7.40,105.24,Simi,79.50
