Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,3,L. Jackson QB - BAL ,14.18,D. Henry RB - TEN ,25.00,N. Chubb RB - CLE ,23.00,R. Woods WR - LA ,16.40,D. Johnson WR - PIT ,0.90,M. Andrews TE - BAL ,2.20,J. Kelley RB - LAC ,3.20,J. Tucker K - BAL ,8.00,Colts DEF ,26.00,A. Green WR - CIN ,3.60,D. Johnson RB - HOU ,10.60,M. Gallup WR - DAL ,19.80,J. Allen QB - BUF ,31.24,A. Brown WR - TEN ,0.00,A. Gibson RB - WAS ,10.00,118.88,Erik,110.30
Erik,4,K. Murray QB - ARI ,21.70,D. Montgomery RB - CHI ,5.40,M. Sanders RB - PHI ,10.70,A. Robinson WR - CHI ,18.30,C. Ridley WR - ATL ,11.70,J. Smith TE - TEN ,6.10,C. Edwards-Helaire RB - KC ,13.40,G. Zuerlein K - DAL ,7.00,Buccaneers DEF ,16.00,D. Freeman RB ,1.00,H. Henry TE - LAC ,5.00,W. Fuller WR - HOU ,11.40,C. McCaffrey RB - CAR ,0.00,C. Godwin WR - TB ,12.40,D. Slayton WR - NYG ,3.30,110.30,Benni,118.88
Ritz,6,C. Newton QB - NE ,11.18,K. Drake RB - ARI ,7.90,A. Jones RB - GB ,14.60,D. Hopkins WR - ARI ,13.70,M. Evans WR - TB ,12.20,Z. Ertz TE - PHI ,7.00,S. Diggs WR - BUF ,10.90,H. Butker K - KC ,4.00,Football Team DEF ,1.00,M. Ryan QB - ATL ,11.42,J. Edelman WR - NE IR ,2.20,A. Rodgers QB - GB ,24.52,K. Allen WR - LAC ,17.20,K. Hunt RB - CLE ,12.40,D. Henderson RB - LA IR ,18.00,82.48,Juschka,140.00
Marv,1,D. Prescott QB - DAL IR ,27.48,D. Cook RB - MIN ,23.90,C. Carson RB - SEA ,7.60,T. McLaurin WR - WAS ,8.60,D. Metcalf WR - SEA ,15.00,T. Kelce TE - KC ,8.70,M. Gordon RB - DEN ,3.80,W. Lutz K - NO ,12.00,Ravens DEF ,7.00,B. Cooks WR - HOU ,2.30,J. Howard RB ,6.10,P. Barber RB - WAS ,0.60,K. Golladay WR - DET ,11.70,A. Miller WR - CHI ,11.00,J. Robinson RB - JAX ,24.90,114.08,Kessi,103.26
Simi,7,R. Wilson QB - SEA ,36.80,L. Fournette RB - TB ,2.20,J. Mixon RB - CIN IR ,6.50,T. Lockett WR - SEA ,28.00,J. Smith-Schuster WR - PIT ,12.30,E. Engram TE - NYG ,2.20,J. McKinnon RB - SF ,13.70,M. Prater K - DET ,14.00,Steelers DEF ,7.00,J. Jones WR - ATL ,0.00,T. Hilton WR - IND ,5.20,R. Mostert RB - SF IR ,0.00,K. Johnson RB - DET ,3.00,J. Burrow QB - CIN IR ,20.38,H. Ruggs WR - LV ,0.00,122.70,Tommy,102.40
Tommy,8,G. Minshew QB - JAX ,9.20,J. Conner RB - PIT ,20.90,A. Ekeler RB - LAC ,20.30,T. Hill WR - KC ,16.20,C. Lamb WR - DAL ,6.60,N. Fant TE - DEN ,4.60,A. Cooper WR - DAL ,8.60,R. Gould K - SF ,14.00,Chargers DEF ,2.00,D. Brees QB - NO ,23.52,S. Watkins WR - KC ,6.20,M. Thomas WR - NO ,0.00,R. Anderson WR - CAR ,5.50,M. Brown WR - BAL ,1.30,B. Aiyuk WR - SF ,16.10,102.40,Simi,122.70
Juschka,5,P. Mahomes QB - KC ,40.00,A. Kamara RB - NO ,31.70,J. Jacobs RB - LV ,6.30,A. Thielen WR - MIN ,9.30,C. Kupp WR - LA ,16.70,D. Waller TE - LV ,0.90,M. Davis RB - CAR ,15.10,Y. Koo K - ATL ,8.00,49ers DEF ,12.00,A. Peterson RB - DET ,8.50,O. Beckham WR - CLE IR ,5.90,D. Chark WR - JAX ,0.00,D. Singletary RB - BUF ,12.10,J. Dobbins RB - BAL ,4.40,Z. Moss RB - BUF IR ,0.00,140.00,Ritz,82.48
Kessi,2,D. Watson QB - HOU ,17.06,E. Elliott RB - DAL ,11.80,J. Taylor RB - IND ,12.20,D. Moore WR - CAR ,6.50,J. Jeudy WR - DEN ,5.50,T. Higbee TE - LA ,6.00,T. Gurley RB - ATL ,14.20,S. Gostkowski K - TEN ,25.00,Bills DEF ,5.00,M. Ingram RB - BAL ,3.00,J. Landry WR - CLE ,3.60,D. Adams WR - GB ,0.00,G. Kittle TE - SF ,0.00,P. Lindsay RB - DEN IR ,0.00,N. Harry WR - NE ,3.60,103.26,Marv,114.08
