Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,4,J. Allen QB - BUF ,15.08,D. Johnson RB - HOU ,12.90,D. Henry RB - TEN ,38.40,R. Woods WR - LA ,10.00,A. Brown WR - TEN ,17.80,M. Andrews TE - BAL ,2.10,A. Mattison RB - MIN ,3.00,J. Tucker K - BAL ,14.00,Rams DEF ,0.00,D. Parker WR - MIA ,3.50,L. Jackson QB - BAL ,28.24,N. Chubb RB - CLE ,0.00,D. Johnson WR - PIT ,0.00,J. Kelley RB - LAC ,0.00,A. Gibson RB - WAS ,5.50,113.28,Ritz,71.60
Erik,5,K. Murray QB - ARI ,28.92,D. Montgomery RB - CHI ,9.70,M. Sanders RB - PHI ,11.20,A. Robinson WR - CHI ,5.30,C. Ridley WR - ATL ,12.90,J. Smith TE - TEN ,1.30,C. Edwards-Helaire RB - KC ,16.90,R. Blankenship K - IND ,7.00,Patriots DEF ,7.00,D. Freeman RB ,5.70,T. Boyd WR - CIN ,7.90,C. McCaffrey RB - CAR ,0.00,C. Godwin WR - TB ,4.80,C. Edmonds RB - ARI ,2.90,C. Claypool WR - PIT ,14.10,100.22,Marv,111.94
Ritz,7,A. Rodgers QB - GB ,3.80,K. Hunt RB - CLE ,5.70,A. Jones RB - GB ,10.10,D. Hopkins WR - ARI ,7.30,M. Evans WR - TB ,1.00,Z. Ertz TE - PHI ,3.30,K. Drake RB - ARI ,28.40,H. Butker K - KC ,8.00,Colts DEF ,4.00,J. Edelman WR - NE,2.32,C. Newton QB - NE ,17.48,K. Allen WR - LAC ,0.00,S. Diggs WR - BUF ,10.60,D. Henderson RB - LA,9.20,Buccaneers DEF ,19.00,71.60,Benni,113.28
Marv,1,R. Tannehill QB - TEN ,28.64,M. Gaskin RB - MIA ,12.60,J. Robinson RB - JAX ,11.30,K. Golladay WR - DET ,10.50,T. McLaurin WR - WAS ,7.40,T. Kelce TE - KC ,16.50,D. Samuel WR - SF ,12.00,J. Sanders K - MIA ,6.00,Ravens DEF ,7.00,M. Gordon RB - DEN ,0.00,D. Cook RB - MIN ,0.00,C. Carson RB - SEA ,0.00,D. Metcalf WR - SEA ,0.00,J. Herbert QB - LAC ,0.00,W. Lutz K - NO ,0.00,111.94,Erik,100.22
Simi,6,R. Fitzpatrick QB - MIA ,16.04,R. Mostert RB - SF,7.60,J. Mixon RB - CIN,12.90,W. Fuller WR - HOU ,18.30,J. Smith-Schuster WR - PIT ,0.60,E. Engram TE - NYG ,3.00,J. Jones WR - ATL ,25.70,J. Slye K - CAR ,10.00,Steelers DEF ,18.00,F. Gore RB - NYJ,7.00,R. Wilson QB - SEA ,0.00,J. McKinnon RB - SF ,2.80,T. Lockett WR - SEA ,0.00,L. Fournette RB - TB ,0.00,H. Ruggs WR - LV ,0.00,112.14,Kessi,93.50
Tommy,8,T. Brady QB - TB ,14.64,J. Conner RB - PIT ,16.20,R. Jones RB - TB ,24.10,A. Cooper WR - DAL ,13.90,T. Hill WR - KC ,2.50,J. Graham TE - CHI ,3.40,C. Lamb WR - DAL ,6.40,R. Gould K - SF ,6.00,Chiefs DEF ,3.00,L. Bell RB - KC ,0.00,M. Thomas WR - NO ,0.00,R. Anderson WR - CAR ,7.70,A. Ekeler RB - LAC ,0.00,M. Brown WR - BAL ,5.70,B. Aiyuk WR - SF ,7.20,90.14,Juschka,103.30
Juschka,2,P. Mahomes QB - KC ,20.60,M. Davis RB - CAR ,9.50,D. Singletary RB - BUF ,4.50,A. Thielen WR - MIN ,11.10,J. Jefferson WR - MIN ,30.60,D. Schultz TE - DAL ,3.50,O. Beckham WR - CLE,2.50,Y. Koo K - ATL ,18.00,49ers DEF ,3.00,A. Peterson RB - DET ,11.80,D. Waller TE - LV ,0.00,C. Kupp WR - LA ,1.10,A. Kamara RB - NO ,0.00,D. Chark WR - JAX ,4.50,J. Jacobs RB - LV ,0.00,103.30,Tommy,90.14
Kessi,3,D. Watson QB - HOU ,32.00,T. Gurley RB - ATL ,6.70,E. Elliott RB - DAL ,4.00,D. Adams WR - GB ,6.10,D. Moore WR - CAR ,9.30,G. Kittle TE - SF ,16.90,J. Taylor RB - IND ,11.50,S. Gostkowski K - TEN ,4.00,Bills DEF ,3.00,M. Ingram RB - BAL ,2.00,J. Crowder WR - NYJ ,4.80,P. Lindsay RB - DEN,10.10,A. Lazard WR - GB ,0.00,N. Harry WR - NE ,0.00,J. Jeudy WR - DEN ,3.20,93.50,Simi,112.14
