Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,3,L. Jackson QB - BAL ,27.50,D. Johnson RB - HOU ,16.90,N. Chubb RB - CLE ,4.60,R. Woods WR - LA ,11.90,A. Brown WR - TEN ,3.90,M. Andrews TE - BAL ,17.80,D. Henry RB - TEN ,13.10,J. Tucker K - BAL ,8.00,Patriots DEF ,11.00,D. Parker WR - MIA ,4.70,T. Boyd WR - CIN ,3.30,M. Gallup WR - DAL ,5.00,J. Allen QB - BUF ,28.18,D. Samuel WR - SF ,0.00,A. Gibson RB - WAS ,4.40,114.70,Simi,89.68
Erik,1,K. Murray QB - ARI ,26.30,C. McCaffrey RB - CAR ,25.50,C. Edwards-Helaire RB - KC ,19.80,A. Robinson WR - CHI ,7.30,C. Ridley WR - ATL ,24.90,T. Higbee TE - LA ,4.00,C. Godwin WR - TB ,7.90,G. Zuerlein K - DAL ,5.00,Eagles DEF ,3.00,H. Henry TE - LAC ,7.30,W. Fuller WR - HOU ,11.20,D. Montgomery RB - CHI ,7.40,D. Johnson WR - PIT ,3.70,M. Sanders RB - PHI ,0.00,C. Akers RB - LA ,4.30,123.70,Juschka,120.84
Ritz,6,M. Ryan QB - ATL ,23.90,K. Drake RB - ARI ,12.50,A. Jones RB - GB ,13.60,K. Allen WR - LAC ,3.70,D. Hopkins WR - ARI ,15.10,Z. Ertz TE - PHI ,7.80,S. Diggs WR - BUF ,8.60,H. Butker K - KC ,10.00,Chargers DEF ,11.00,J. Edelman WR - NE IR ,8.00,T. Brady QB - TB ,20.46,M. Evans WR - TB ,6.20,T. Coleman RB - SF ,2.40,K. Hunt RB - CLE ,8.10,S. Michel RB - NE ,9.70,106.20,Marv,120.24
Marv,2,D. Prescott QB - DAL IR ,17.64,D. Cook RB - MIN ,20.80,C. Carson RB - SEA ,18.60,T. McLaurin WR - WAS ,6.10,D. Metcalf WR - SEA ,15.50,T. Kelce TE - KC ,11.00,M. Mack RB - IND IR ,5.60,W. Lutz K - NO ,10.00,Ravens DEF ,15.00,B. Cooks WR - HOU ,2.00,M. Gordon RB - DEN ,12.60,A. Hooper TE - CLE ,1.50,J. Howard RB ,6.70,K. Golladay WR - DET ,0.00,A. Miller WR - CHI ,13.60,120.24,Ritz,106.20
Simi,7,R. Wilson QB - SEA ,31.78,J. Mixon RB - CIN IR ,5.10,S. Barkley RB - NYG IR ,6.60,J. Jones WR - ATL ,15.70,T. Lockett WR - SEA ,9.20,E. Engram TE - NYG ,0.90,K. Johnson RB - DET ,1.40,M. Prater K - DET ,11.00,Steelers DEF ,8.00,T. Hilton WR - IND ,5.30,R. Mostert RB - SF IR ,21.10,L. Fournette RB - TB ,1.90,J. Smith-Schuster WR - PIT ,18.90,J. Burrow QB - CIN IR ,16.32,H. Ruggs WR - LV ,6.60,89.68,Benni,114.70
Tommy,8,D. Brees QB - NO ,14.40,J. Conner RB - PIT ,1.70,A. Ekeler RB - LAC ,8.70,T. Hill WR - KC ,10.60,M. Thomas WR - NO ,1.70,R. Gronkowski TE - TB ,1.10,L. Bell RB - KC ,4.60,R. Gould K - SF ,10.00,Packers DEF ,5.00,M. Stafford QB - DET ,16.18,A. Cooper WR - DAL ,8.10,C. Sutton WR - DEN IR ,0.00,M. Brown WR - BAL ,10.10,C. Lamb WR - DAL ,5.90,B. Aiyuk WR - SF ,0.00,57.80,Kessi,110.42
Juschka,5,P. Mahomes QB - KC ,20.44,A. Kamara RB - NO ,18.70,J. Jacobs RB - LV ,31.90,A. Thielen WR - MIN ,25.00,C. Kupp WR - LA ,4.00,D. Waller TE - LV ,4.50,D. Singletary RB - BUF ,5.30,Y. Koo K - ATL ,7.00,49ers DEF ,4.00,A. Peterson RB - DET ,11.40,O. Beckham WR - CLE IR ,2.20,D. Chark WR - JAX ,8.50,J. Dobbins RB - BAL ,14.20,Z. Moss RB - BUF IR ,8.70,J. Reagor WR - PHI ,5.50,120.84,Erik,123.70
Kessi,4,D. Watson QB - HOU ,20.82,M. Ingram RB - BAL ,2.90,E. Elliott RB - DAL ,24.70,D. Adams WR - GB ,27.60,D. Moore WR - CAR ,5.40,G. Kittle TE - SF ,5.30,T. Gurley RB - ATL ,11.70,S. Gostkowski K - TEN ,4.00,Bills DEF ,8.00,A. Green WR - CIN ,5.10,J. Landry WR - CLE ,6.10,P. Lindsay RB - DEN IR ,3.50,N. Harry WR - NE ,1.90,J. Jeudy WR - DEN ,5.60,J. Taylor RB - IND ,8.90,110.42,Tommy,57.80
