Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,6,T. Brady QB - NE ,14.86,M. Forte RB - NYJ ,7.90,J. Ajayi RB - MIA ,8.70,B. Marshall WR - NYJ ,4.30,D. Baldwin WR - SEA ,6.50,T. Kelce TE - KC ,14.00,M. Ingram RB - NO ,5.30,J. Tucker K - BAL ,10.00,Broncos DEF ,17.00,D. Murray RB - TEN ,0.00,B. Roethlisberger QB - PIT ,17.56,T. Pryor WR - CLE ,0.00,S. Watkins WR - BUF ,3.80,M. Mitchell WR - NE ,8.20,W. Smallwood RB - PHI ,1.90,88.56,Erik,93.56
Erik,2,C. Kaepernick QB - SF ,2.16,M. Gordon RB - LAC ,19.80,D. Johnson RB - ARI ,29.50,M. Evans WR - TB ,5.80,S. Diggs WR - MIN ,5.90,A. Gates TE - LAC ,3.70,D. Booker RB - DEN ,9.70,D. Bailey K - DAL ,5.00,Patriots DEF ,12.00,C. Newton QB - CAR ,12.48,J. Reed TE - WAS ,0.00,T. Gurley RB - LA ,4.70,T. Rawls RB - SEA ,23.80,T. Williams WR - LAC ,10.70,Vikings DEF ,8.00,93.56,Benni,88.56
Ritz,3,A. Rodgers QB - GB ,15.96,F. Gore RB - IND ,7.90,L. Miller RB - HOU ,1.80,D. Adams WR - GB ,1.70,O. Beckham WR - NYG ,10.00,K. Rudolph TE - MIN ,4.50,D. Moncrief WR - IND ,8.60,C. Sturgis K - PHI ,2.00,Chiefs DEF ,9.00,A. Peterson RB - MIN ,0.00,M. Wallace WR - BAL ,5.90,M. Jones WR - DET ,0.00,C. Michael RB - GB ,1.90,J. Crowder WR - WAS ,10.20,D. Henry RB - TEN ,0.00,61.46,Juschka,90.64
Marv,1,A. Luck QB - IND ,29.72,L. Bell RB - PIT ,16.20,E. Elliott RB - DAL ,16.50,D. Hopkins WR - HOU ,11.80,M. Thomas WR - NO ,4.20,C. Fleener TE - NO ,8.60,L. Blount RB - NE ,14.80,C. Santos K - KC ,3.00,Seahawks DEF ,8.00,J. Thomas TE - JAX ,0.00,T. Hilton WR - IND ,14.60,R. Matthews WR - TEN ,0.00,M. Mariota QB - TEN ,0.00,A. Cooper WR - LV ,11.90,Saints DEF ,1.00,112.82,Kessi,111.04
Simi,8,R. Wilson QB - SEA ,15.98,T. Riddick RB - DET ,7.70,J. Hill RB - CIN ,10.50,J. Edelman WR - NE ,10.10,J. Jones WR - ATL ,11.30,G. Olsen TE - CAR ,3.00,M. Crabtree WR - LV ,13.40,A. Vinatieri K - IND ,13.00,Ravens DEF ,15.00,J. Stewart RB - CAR ,3.30,J. Starks RB - GB ,0.10,A. Robinson WR - JAX ,3.10,T. Gabriel WR - ATL ,4.40,D. Prescott QB - DAL ,11.26,R. Kelley RB - WAS ,6.30,99.98,Tommy,101.78
Tommy,4,M. Ryan QB - ATL ,16.18,L. Murray RB - LV ,22.50,T. Coleman RB - ATL ,4.90,D. Bryant WR - DAL ,14.40,B. Cooks WR - NO ,7.70,J. Graham TE - SEA ,12.30,L. Fitzgerald WR - ARI ,7.80,S. Hauschka K - SEA ,16.00,Dolphins DEF ,0.00,R. Mathews RB - PHI ,0.00,T. Taylor QB - BUF ,12.64,S. Smith WR - BAL ,5.30,J. Brown WR - ARI ,0.00,I. Crowell RB - CLE ,0.00,D. Parker WR - MIA ,9.40,101.78,Simi,99.98
Juschka,7,M. Stafford QB - DET ,23.84,L. McCoy RB - BUF ,19.10,D. Freeman RB - ATL ,22.50,E. Sanders WR - DEN ,3.20,D. Thomas WR - DEN ,6.10,J. Witten TE - DAL ,0.00,T. Hightower RB - NO ,0.90,M. Bryant K - ATL ,12.00,Eagles DEF ,3.00,K. Britt WR - LA ,12.70,B. LaFell WR - CIN ,15.50,A. Dalton QB - CIN ,22.18,A. Green WR - CIN ,0.00,D. Walker TE - TEN ,0.00,J. Landry WR - MIA ,8.60,90.64,Ritz,61.46
Kessi,5,D. Brees QB - NO ,7.04,C. Hyde RB - SF ,9.80,J. Howard RB - CHI ,29.70,J. Nelson WR - GB ,17.80,A. Brown WR - PIT ,11.40,T. Eifert TE - CIN ,8.50,D. Martin RB - TB ,12.80,B. McManus K - DEN ,8.00,Cardinals DEF ,6.00,D. Jackson WR - WAS ,5.90,D. Lewis RB - NE ,3.80,S. Ware RB - KC ,17.20,K. Benjamin WR - CAR ,1.80,D. Carr QB - LV ,20.80,T. Hill WR - KC ,7.20,111.04,Marv,112.82
