Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,5,T. Brady QB - NE ,19.04,D. Murray RB - TEN ,8.40,J. Ajayi RB - MIA ,11.60,B. Marshall WR - NYJ ,12.70,D. Baldwin WR - SEA ,3.40,T. Kelce TE - KC ,10.10,M. Forte RB - NYJ ,5.00,J. Tucker K - BAL ,19.00,Bills DEF ,2.00,M. Ingram RB - NO ,28.70,B. Roethlisberger QB - PIT ,20.84,T. Pryor WR - CLE ,13.10,S. Watkins WR - BUF ,8.00,W. Smallwood RB - PHI ,4.70,Broncos DEF ,5.00,91.24,Ritz,115.82
Erik,2,C. Newton QB - CAR ,20.44,M. Gordon RB - LAC ,8.90,D. Johnson RB - ARI ,22.10,M. Evans WR - TB ,22.40,S. Shepard WR - NYG ,2.20,J. Reed TE - WAS ,21.50,T. Rawls RB - SEA ,3.80,J. Lambo K - LAC ,3.00,Vikings DEF ,3.00,A. Gates TE - LAC ,0.00,T. West RB - BAL ,6.40,T. Gurley RB - LA ,8.90,S. Diggs WR - MIN ,0.00,T. Williams WR - LAC ,13.00,D. Booker RB - DEN ,10.10,107.34,Marv,124.14
Ritz,3,A. Rodgers QB - GB ,23.12,F. Gore RB - IND ,3.10,L. Miller RB - HOU ,5.50,D. Adams WR - GB ,23.30,O. Beckham WR - NYG ,21.60,K. Rudolph TE - MIN ,6.40,J. Crowder WR - WAS ,8.80,C. Sturgis K - PHI ,9.00,Chiefs DEF ,15.00,R. Gronkowski TE - NE ,0.00,R. Cobb WR - GB ,4.10,M. Wallace WR - BAL ,5.60,C. Michael RB - GB ,0.40,D. Moncrief WR - IND ,10.50,J. White RB - NE ,2.20,115.82,Benni,91.24
Marv,1,M. Mariota QB - TEN ,21.64,L. Bell RB - PIT ,20.20,E. Elliott RB - DAL ,24.00,R. Matthews WR - TEN ,12.40,A. Cooper WR - LV ,2.20,C. Fleener TE - NO ,5.90,M. Thomas WR - NO ,22.80,C. Santos K - KC ,8.00,Saints DEF ,7.00,L. Blount RB - NE ,6.70,J. Thomas TE - JAX ,0.00,T. Hilton WR - IND ,5.40,A. Luck QB - IND ,0.00,D. Hopkins WR - HOU ,7.00,Seahawks DEF ,7.00,124.14,Erik,107.34
Simi,8,R. Wilson QB - SEA ,10.04,J. Hill RB - CIN ,8.20,R. Kelley RB - WAS ,4.20,J. Edelman WR - NE ,8.30,J. Jones WR - ATL ,3.50,G. Olsen TE - CAR ,4.50,M. Crabtree WR - LV ,11.00,A. Vinatieri K - IND ,1.00,Ravens DEF ,11.00,J. Stewart RB - CAR ,21.60,J. Starks RB - GB ,6.80,D. Sproles RB - PHI ,5.40,T. Riddick RB - DET ,5.80,A. Robinson WR - JAX ,2.40,D. Prescott QB - DAL ,21.70,61.74,Kessi,126.70
Tommy,7,M. Ryan QB - ATL ,18.26,L. Murray RB - LV ,14.80,T. Coleman RB - ATL ,7.30,D. Bryant WR - DAL ,7.20,B. Cooks WR - NO ,0.00,J. Graham TE - SEA ,4.70,L. Fitzgerald WR - ARI ,5.30,S. Hauschka K - SEA ,3.00,Giants DEF ,23.00,R. Mathews RB - PHI ,0.00,T. Taylor QB - BUF ,20.44,S. Smith WR - BAL ,2.00,J. Brown WR - ARI ,1.90,I. Crowell RB - CLE ,7.10,D. Parker WR - MIA ,6.40,83.56,Juschka,114.78
Juschka,6,M. Stafford QB - DET ,16.28,L. McCoy RB - BUF ,27.40,D. Freeman RB - ATL ,19.70,K. Britt WR - LA ,11.20,J. Landry WR - MIA ,4.70,D. Walker TE - TEN ,11.00,T. Hightower RB - NO ,16.50,M. Bryant K - ATL ,8.00,Eagles DEF ,0.00,B. LaFell WR - CIN ,3.80,E. Sanders WR - DEN ,22.20,D. Thomas WR - DEN ,6.00,A. Dalton QB - CIN ,12.72,A. Green WR - CIN ,0.00,M. Gillislee RB - BUF ,0.00,114.78,Tommy,83.56
Kessi,4,D. Brees QB - NO ,32.50,C. Hyde RB - SF ,15.50,J. Howard RB - CHI ,12.70,J. Nelson WR - GB ,9.10,A. Brown WR - PIT ,27.10,T. Eifert TE - CIN ,12.80,D. Martin RB - TB ,7.00,B. McManus K - DEN ,9.00,Cardinals DEF ,1.00,D. Jackson WR - WAS ,17.80,D. Lewis RB - NE ,5.80,S. Ware RB - KC ,9.60,K. Benjamin WR - CAR ,11.30,D. Carr QB - LV ,17.40,M. Crosby K - GB ,9.00,126.70,Simi,61.74
