Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,3,T. Brady QB - NE ,28.40,D. Murray RB - TEN ,13.90,J. Ajayi RB - MIA ,8.40,D. Baldwin WR - SEA ,15.00,A. Cooper WR - LV ,11.70,T. Kelce TE - KC ,10.30,G. Tate WR - DET ,0.10,J. Tucker K - BAL ,5.00,Dolphins DEF ,7.00,M. Forte RB - NYJ ,0.00,M. Ingram RB - NO ,7.50,B. Marshall WR - NYJ ,0.00,T. Pryor WR - CLE ,9.70,T. Gabriel WR - ATL ,0.00,Broncos DEF ,0.00,99.80,Simi,87.78
Erik,1,C. Newton QB - CAR ,12.38,T. Gurley RB - LA ,13.60,D. Johnson RB - ARI ,28.00,M. Evans WR - TB ,10.50,S. Diggs WR - MIN ,3.70,J. Reed TE - WAS ,7.90,R. Kelley RB - WAS ,31.70,D. Hopkins K - WAS ,6.00,Vikings DEF ,20.00,A. Gates TE - LAC ,0.00,M. Gordon RB - LAC ,0.00,T. Rawls RB - SEA ,8.80,T. Williams WR - LAC ,0.00,D. Booker RB - DEN ,0.00,J. Lambo K - LAC ,0.00,133.78,Ritz,95.14
Ritz,4,A. Rodgers QB - GB ,29.34,F. Gore RB - IND ,12.10,L. Miller RB - HOU ,17.30,D. Adams WR - GB ,4.20,O. Beckham WR - NYG ,4.60,M. Bennett TE - NE ,1.40,J. Crowder WR - WAS ,16.20,S. Gostkowski K - NE ,6.00,Chiefs DEF ,4.00,R. Gronkowski TE - NE ,0.00,R. Cobb WR - GB ,8.40,M. Wallace WR - BAL ,7.50,D. Moncrief WR - IND ,9.70,C. Prosise RB - SEA ,14.10,-,-,95.14,Erik,133.78
Marv,2,M. Mariota QB - TEN ,22.50,L. Bell RB - PIT ,26.10,E. Elliott RB - DAL ,12.70,T. Hilton WR - IND ,15.70,M. Thomas WR - NO ,6.80,C. Fleener TE - NO ,7.70,L. Blount RB - NE ,12.40,C. Santos K - KC ,5.00,Seahawks DEF ,7.00,J. Thomas TE - JAX ,1.20,B. Roethlisberger QB - PIT ,8.68,R. Matthews WR - TEN ,12.20,A. Luck QB - IND ,18.68,D. Hopkins WR - HOU ,5.80,Texans DEF ,2.00,115.90,Juschka,60.92
Simi,8,R. Wilson QB - SEA ,24.28,J. Stewart RB - CAR ,9.90,J. Hill RB - CIN ,6.30,J. Edelman WR - NE ,14.90,A. Robinson WR - JAX ,7.80,G. Olsen TE - CAR ,3.30,T. Riddick RB - DET ,8.30,A. Vinatieri K - IND ,6.00,Rams DEF ,7.00,M. Crabtree WR - LV ,0.50,J. Starks RB - GB ,13.10,J. Jones WR - ATL ,0.00,D. Sproles RB - PHI ,2.10,T. West RB - BAL ,11.30,D. Prescott QB - DAL ,25.64,87.78,Benni,99.80
Tommy,5,T. Taylor QB - BUF ,8.54,R. Mathews RB - PHI ,3.10,L. Murray RB - LV ,9.20,D. Bryant WR - DAL ,20.00,B. Cooks WR - NO ,4.90,J. Graham TE - SEA ,10.60,L. Fitzgerald WR - ARI ,6.30,S. Hauschka K - SEA ,8.00,Giants DEF ,7.00,M. Ryan QB - ATL ,0.00,J. Charles RB - KC ,0.00,J. Brown WR - ARI ,0.00,I. Crowell RB - CLE ,2.30,T. Coleman RB - ATL ,0.00,-,-,77.64,Kessi,74.40
Juschka,7,M. Stafford QB - DET ,11.12,T. Hightower RB - NO ,12.60,L. McCoy RB - BUF ,10.50,A. Green WR - CIN ,0.00,J. Landry WR - MIA ,8.80,D. Walker TE - TEN ,3.60,K. Britt WR - LA ,4.30,D. Bailey K - DAL ,9.00,Eagles DEF ,1.00,E. Sanders WR - DEN ,0.00,D. Thomas WR - DEN ,0.00,A. Dalton QB - CIN ,15.28,M. Gillislee RB - BUF ,7.20,D. Freeman RB - ATL ,0.00,M. Bryant K - ATL ,0.00,60.92,Marv,115.90
Kessi,6,D. Brees QB - NO ,15.40,S. Ware RB - KC ,8.50,J. Howard RB - CHI ,9.90,J. Nelson WR - GB ,8.80,A. Brown WR - PIT ,7.60,T. Eifert TE - CIN ,3.70,D. Martin RB - TB ,10.50,M. Crosby K - GB ,6.00,Cardinals DEF ,4.00,D. Jackson WR - WAS ,11.10,D. Lewis RB - NE ,4.90,K. Benjamin WR - CAR ,5.60,D. Carr QB - LV ,21.60,C. Hyde RB - SF ,11.00,B. McManus K - DEN ,0.00,74.40,Tommy,77.64
