Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,1,B. Roethlisberger QB - PIT ,6.98,M. Forte RB - NYJ ,6.40,M. Ingram RB - NO ,18.70,D. Baldwin WR - SEA ,22.00,O. Beckham WR - NYG ,12.10,T. Kelce TE - KC ,14.90,D. Williams RB - PIT ,4.40,J. Tucker K - BAL ,15.00,Broncos DEF ,9.00,R. Jennings RB - NYG ,0.00,B. Marshall WR - NYJ ,2.70,T. Brady QB - NE ,0.00,J. Gordon WR - CLE ,0.00,G. Bernard RB - CIN ,4.40,S. Shepard WR - NYG ,13.30,109.48,Ritz,83.80
Erik,3,C. Newton QB - CAR ,13.08,L. Blount RB - NE ,22.50,D. Johnson RB - ARI ,23.10,M. Evans WR - TB ,19.20,W. Fuller WR - HOU ,3.10,J. Reed TE - WAS ,5.60,T. Gurley RB - LA ,20.00,G. Gano K - CAR ,4.00,Seahawks DEF ,3.00,J. Maclin WR - KC ,3.50,R. Cobb WR - GB ,3.30,A. Jeffery WR - CHI ,7.00,T. Eifert TE - CIN ,0.00,C. Sims RB - TB ,18.40,T. Rawls RB - SEA ,0.00,113.58,Marv,109.14
Ritz,4,A. Rodgers QB - GB ,26.40,D. Murray RB - TEN ,21.50,L. Miller RB - HOU ,10.70,J. Edelman WR - NE ,5.20,M. Wallace WR - BAL ,3.90,R. Gronkowski TE - NE ,0.00,C. Anderson RB - DEN ,4.10,S. Gostkowski K - NE ,9.00,Bengals DEF ,3.00,P. Rivers QB - LAC ,11.24,F. Gore RB - IND ,14.30,D. Moncrief WR - IND ,0.00,W. Snead WR - NO ,0.00,J. Langford RB - CHI ,4.60,M. Jones RB - WAS ,7.90,83.80,Benni,109.48
Marv,5,A. Luck QB - IND ,13.24,M. Gordon RB - LAC ,13.80,E. Elliott RB - DAL ,16.00,D. Hopkins WR - HOU ,5.60,A. Cooper WR - LV ,6.20,C. Fleener TE - NO ,16.90,T. Hilton WR - IND ,23.40,D. Bailey K - DAL ,7.00,Dolphins DEF ,7.00,R. Mathews RB - PHI ,-0.50,D. Pitta TE - BAL ,4.20,L. Bell RB - PIT ,0.00,B. Bortles QB - JAX ,11.46,T. Lockett WR - SEA ,0.00,S. Diggs WR - MIN ,4.00,109.14,Erik,113.58
Simi,8,R. Wilson QB - SEA ,14.02,E. Lacy RB - GB ,10.50,J. Hill RB - CIN ,21.70,J. Jones WR - ATL ,1.60,A. Robinson WR - JAX ,17.70,G. Olsen TE - CAR ,6.40,E. Decker WR - NYJ ,3.10,S. Hauschka K - SEA ,13.00,Panthers DEF ,3.00,J. Stewart RB - CAR ,0.00,M. Crabtree WR - LV ,10.20,A. Dalton QB - CIN ,10.24,V. Cruz WR - NYG ,7.00,M. Floyd WR - NE ,6.50,T. Riddick RB - DET ,4.80,91.02,Juschka,108.58
Tommy,7,M. Ryan QB - ATL ,19.90,L. Murray RB - LV ,9.80,I. Crowell RB - CLE ,7.90,D. Bryant WR - DAL ,10.00,L. Fitzgerald WR - ARI ,6.00,J. Graham TE - SEA ,14.00,B. Cooks WR - NO ,1.90,C. Santos K - KC ,6.00,Chiefs DEF ,35.00,J. Charles RB - KC ,0.00,A. Peterson RB - MIN ,0.00,S. Watkins WR - BUF ,0.00,J. Brown WR - ARI ,7.00,-,-,-,-,110.50,Kessi,107.14
Juschka,6,C. Palmer QB - ARI ,3.48,L. McCoy RB - BUF ,23.60,D. Freeman RB - ATL ,26.70,A. Green WR - CIN ,7.70,J. Matthews WR - PHI ,7.90,G. Barnidge TE - CLE ,8.60,J. Landry WR - MIA ,19.60,M. Crosby K - GB ,10.00,Texans DEF ,1.00,E. Sanders WR - DEN ,23.70,D. Thomas WR - DEN ,14.00,D. Walker TE - TEN ,0.00,E. Manning QB - NYG ,14.00,C. Ivory RB - JAX ,2.30,J. McKinnon RB - MIN ,6.70,108.58,Simi,91.02
Kessi,2,D. Brees QB - NO ,25.94,S. Ware RB - KC ,6.30,C. Hyde RB - SF ,24.50,J. Nelson WR - GB ,22.10,A. Brown WR - PIT ,14.00,J. Thomas TE - JAX ,1.30,K. Benjamin WR - CAR ,0.00,B. McManus K - DEN ,5.00,Cardinals DEF ,8.00,D. Jackson WR - WAS ,15.60,A. Foster RB - MIA ,0.00,B. LaFell WR - CIN ,3.20,D. Lewis RB - NE ,0.00,D. Martin RB - TB ,0.00,D. Carr QB - LV ,11.86,107.14,Tommy,110.50
