Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,5,T. Brady QB - NE ,20.56,D. Murray RB - TEN ,6.00,J. Ajayi RB - MIA ,26.90,D. Baldwin WR - SEA ,23.70,A. Jeffery WR - CHI ,9.20,T. Kelce TE - KC ,22.00,B. Powell RB - NYJ ,7.40,J. Tucker K - BAL ,13.00,Chargers DEF ,10.00,M. Ingram RB - NO ,23.30,B. Roethlisberger QB - PIT ,19.06,S. Watkins WR - BUF ,21.40,T. Montgomery RB - GB ,4.00,M. Mitchell WR - NE ,2.90,Broncos DEF ,1.00,138.76,Tommy,100.28
Erik,2,C. Newton QB - CAR ,11.52,T. Gurley RB - LA ,14.70,D. Johnson RB - ARI ,29.60,M. Evans WR - TB ,15.70,T. Williams WR - LAC ,12.40,V. Davis TE - WAS ,1.30,K. Farrow RB - LAC ,5.70,S. Janikowski K - LV ,3.00,Patriots DEF ,17.00,J. Flacco QB - BAL ,14.48,A. Gates TE - LAC ,15.40,J. Reed TE - WAS ,0.00,M. Gordon RB - LAC ,0.00,S. Diggs WR - MIN ,8.90,T. Rawls RB - SEA ,0.80,110.92,Marv,112.56
Ritz,3,A. Rodgers QB - GB ,37.18,F. Gore RB - IND ,6.40,D. Henry RB - TEN ,3.50,D. Inman WR - LAC ,4.40,O. Beckham WR - NYG ,15.00,K. Rudolph TE - MIN ,5.30,D. Adams WR - GB ,10.40,D. Hopkins K - WAS ,11.00,Chiefs DEF ,10.00,A. Peterson RB - MIN ,0.00,M. Wallace WR - BAL ,2.10,L. Miller RB - HOU ,0.00,C. Michael RB - GB ,0.50,D. Moncrief WR - IND ,9.00,J. Crowder WR - WAS ,0.30,103.18,Kessi,95.66
Marv,1,M. Mariota QB - TEN ,8.26,L. Bell RB - PIT ,25.70,E. Elliott RB - DAL ,21.20,T. Hilton WR - IND ,12.50,A. Cooper WR - LV ,7.60,E. Ebron TE - DET ,9.30,L. Blount RB - NE ,17.00,C. Santos K - KC ,9.00,Seahawks DEF ,2.00,K. Cousins QB - WAS ,29.80,C. Fleener TE - NO ,3.00,R. Matthews WR - TEN ,9.10,A. Luck QB - IND ,24.72,D. Hopkins WR - HOU ,4.30,M. Thomas WR - NO ,9.80,112.56,Erik,110.92
Simi,8,D. Prescott QB - DAL ,23.98,J. Stewart RB - CAR ,5.20,J. Hill RB - CIN ,0.80,J. Edelman WR - NE ,8.90,J. Jones WR - ATL ,6.00,G. Olsen TE - CAR ,5.90,M. Crabtree WR - LV ,9.00,A. Vinatieri K - IND ,5.00,Bills DEF ,1.00,R. Wilson QB - SEA ,33.60,T. Riddick RB - DET ,0.00,A. Robinson WR - JAX ,14.70,T. Gabriel WR - ATL ,1.50,R. Kelley RB - WAS ,8.20,Ravens DEF ,3.00,65.78,Juschka,105.20
Tommy,7,M. Ryan QB - ATL ,19.98,L. Murray RB - LV ,5.10,T. Coleman RB - ATL ,19.50,D. Bryant WR - DAL ,23.40,B. Cooks WR - NO ,9.80,J. Graham TE - SEA ,10.30,R. Mathews RB - PHI ,6.20,S. Hauschka K - SEA ,5.00,Dolphins DEF ,1.00,T. Taylor QB - BUF ,31.16,S. Smith WR - BAL ,15.90,L. Fitzgerald WR - ARI ,3.10,J. Brown WR - ARI ,1.20,I. Crowell RB - CLE ,17.80,D. Parker WR - MIA ,14.50,100.28,Benni,138.76
Juschka,6,M. Stafford QB - DET ,12.50,L. McCoy RB - BUF ,20.50,D. Freeman RB - ATL ,8.80,K. Britt WR - LA ,1.50,E. Sanders WR - DEN ,2.60,D. Walker TE - TEN ,8.30,B. LaFell WR - CIN ,19.00,M. Bryant K - ATL ,19.00,Eagles DEF ,13.00,T. Hightower RB - NO ,4.00,D. Thomas WR - DEN ,2.00,A. Dalton QB - CIN ,12.72,A. Green WR - CIN ,0.00,J. Witten TE - DAL ,9.30,J. Landry WR - MIA ,2.90,105.20,Simi,65.78
Kessi,4,D. Brees QB - NO ,16.06,C. Hyde RB - SF ,10.20,J. Howard RB - CHI ,12.80,J. Nelson WR - GB ,27.40,A. Brown WR - PIT ,15.60,T. Eifert TE - CIN ,0.00,D. Martin RB - TB ,0.00,B. McManus K - DEN ,6.60,Cardinals DEF ,7.00,D. Jackson WR - WAS ,11.40,M. Floyd WR - NE ,0.60,S. Ware RB - KC ,8.20,K. Benjamin WR - CAR ,12.30,D. Carr QB - LV ,22.08,T. Hill WR - KC ,15.50,95.66,Ritz,103.18
