Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,5,D. Brees QB - NO ,20.80,D. Cook RB - MIN ,22.90,C. McCaffrey RB - CAR ,11.70,J. Nelson WR - GB ,17.20,B. Cooks WR - NE ,27.10,Z. Ertz TE - PHI ,9.50,D. Parker WR - MIA ,13.60,D. Bailey K - DAL ,4.00,Eagles DEF ,4.00,T. Hilton WR - IND ,21.30,D. Martin RB - TB ,0.00,M. Bryant WR - PIT ,3.00,D. Johnson RB - ARI ,0.00,D. Henry RB - TEN ,6.40,S. Perine RB - WAS ,3.50,130.80,Kessi,112.22
Erik,6,M. Stafford QB - DET ,16.46,L. Bell RB - PIT ,15.80,E. Elliott RB - DAL ,15.40,T. Pryor WR - WAS ,1.90,A. Cooper WR - LV ,0.60,T. Kelce TE - KC ,0.10,T. Montgomery RB - GB ,5.00,S. Gostkowski K - NE ,4.00,Broncos DEF ,4.00,A. Luck QB - IND ,0.00,J. Reed TE - WAS ,0.00,C. Anderson RB - DEN ,4.30,S. Diggs WR - MIN ,29.30,C. Carson RB - SEA ,11.20,Ravens DEF ,-4.00,63.26,Tommy,136.82
Ritz,1,T. Brady QB - NE ,35.72,L. McCoy RB - BUF ,6.90,C. Hyde RB - SF ,21.40,M. Crabtree WR - LV ,0.70,A. Green WR - CIN ,17.10,K. Rudolph TE - MIN ,0.40,K. Allen WR - LAC ,6.10,C. Santos K - CHI ,6.00,Patriots DEF ,6.00,P. Garcon WR - SF ,14.20,E. Sanders WR - DEN ,7.50,F. Gore RB - IND ,11.70,L. Miller RB - HOU ,6.30,A. Abdullah RB - DET ,8.60,J. Allen RB - BAL ,2.80,100.32,Simi,100.08
Marv,4,M. Mariota QB - TEN ,19.70,J. Ajayi RB - PHI ,2.50,L. Fournette RB - JAX ,14.00,A. Jeffery WR - PHI ,5.60,M. Thomas WR - NO ,14.70,D. Walker TE - TEN ,3.10,J. Rodgers RB - TB ,1.50,W. Lutz K - NO ,12.00,Rams DEF ,4.00,L. Blount RB - PHI ,12.70,D. Baldwin WR - SEA ,16.50,T. West RB - BAL ,0.60,C. Davis WR - TEN ,0.00,J. Mixon RB - CIN ,10.10,Vikings DEF ,9.00,77.10,Juschka,72.86
Simi,2,C. Newton QB - CAR ,8.28,J. Howard RB - CHI ,26.60,K. Hunt RB - KC ,24.30,D. Bryant WR - DAL ,7.20,A. Brown WR - PIT ,17.00,J. Witten TE - DAL ,0.30,I. Crowell RB - CLE ,5.40,M. Bryant K - ATL ,12.00,Seahawks DEF ,-1.00,M. Ingram RB - NO ,8.60,B. Marshall WR - NYG ,6.60,R. Wilson QB - SEA ,33.52,D. Hopkins WR - HOU ,7.60,D. Moncrief WR - IND ,4.40,J. Richard RB - LV ,0.80,100.08,Ritz,100.32
Tommy,3,D. Carr QB - LV ,5.22,C. Thompson RB - WAS ,24.80,T. Gurley RB - LA ,32.90,M. Evans WR - TB ,6.70,O. Beckham WR - NYG ,19.90,R. Gronkowski TE - NE ,14.90,D. Jackson WR - TB ,14.40,M. Crosby K - GB ,9.00,Texans DEF ,9.00,M. Forte RB - NYJ ,2.50,B. Powell RB - NYJ ,9.70,R. Matthews WR - TEN ,14.70,T. Coleman RB - ATL ,8.90,J. Nelson WR - ARI ,0.00,Packers DEF ,6.00,136.82,Erik,63.26
Juschka,8,M. Ryan QB - ATL ,13.66,D. Freeman RB - ATL ,19.80,M. Gordon RB - LAC ,13.90,J. Landry WR - MIA ,4.80,D. Adams WR - GB ,6.00,C. Fleener TE - NO ,2.10,M. Lynch RB - LV ,2.60,G. Tavecchio K - LV ,4.00,Steelers DEF ,6.00,J. Stewart RB - CAR ,6.10,G. Tate WR - DET ,11.80,D. Thomas WR - DEN ,9.80,K. Benjamin WR - BUF ,0.80,W. Snead WR - NO ,0.00,P. Perkins RB - NYG ,3.00,72.86,Marv,77.10
Kessi,7,A. Rodgers QB - GB ,24.82,D. Murray RB - TEN ,18.00,T. Cohen RB - CHI ,10.20,J. Jones WR - ATL ,9.10,T. Hill WR - KC ,15.00,M. Bennett TE - NE ,1.20,L. Fitzgerald WR - ARI ,20.90,J. Tucker K - BAL ,1.00,Chiefs DEF ,12.00,J. Graham TE - SEA ,7.20,M. Wallace WR - BAL ,1.00,M. Gillislee RB - NE ,3.10,J. Hill RB - CIN ,2.90,J. White RB - NE ,2.80,T. Williams WR - LAC ,1.50,112.22,Benni,130.80
