Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,8,D. Brees QB - NO ,22.24,D. Cook RB - MIN ,6.40,C. McCaffrey RB - CAR ,4.40,J. Nelson WR - GB ,0.00,B. Cooks WR - NE ,4.30,J. Reed TE - WAS ,4.80,J. Rodgers RB - TB ,12.70,D. Bailey K - DAL ,7.00,Cardinals DEF ,10.00,T. Hilton WR - IND ,4.90,D. Martin RB - TB ,0.00,S. Watkins WR - LA ,3.00,M. Bryant WR - PIT ,15.80,D. Parker WR - MIA ,8.50,D. Johnson RB - ARI ,0.00,71.84,Tommy,121.80
Erik,2,J. Winston QB - TB ,12.46,L. Bell RB - PIT ,9.10,E. Elliott RB - DAL ,2.20,T. Pryor WR - WAS ,3.10,A. Cooper WR - LV ,3.30,T. Kelce TE - KC ,16.30,T. Montgomery RB - GB ,23.00,S. Gostkowski K - NE ,12.00,Ravens DEF ,17.00,A. Luck QB - IND ,0.00,K. Williams RB - ARI ,2.20,C. Anderson RB - DEN ,27.40,S. Diggs WR - MIN ,3.10,C. Kupp WR - LA ,3.30,Broncos DEF ,13.00,98.46,Juschka,89.68
Ritz,3,T. Brady QB - NE ,30.78,L. McCoy RB - BUF ,4.30,L. Miller RB - HOU ,8.70,M. Crabtree WR - LV ,26.00,A. Green WR - CIN ,6.70,T. Eifert TE - CIN ,4.20,K. Allen WR - LAC ,10.00,B. Walsh K - SEA ,6.00,Panthers DEF ,10.00,P. Garcon WR - SF ,2.60,E. Sanders WR - DEN ,18.20,F. Gore RB - IND ,10.60,A. Thielen WR - MIN ,2.40,C. Hyde RB - SF ,14.30,A. Abdullah RB - DET ,8.60,106.68,Kessi,61.02
Marv,6,M. Mariota QB - TEN ,13.00,J. Ajayi RB - PHI ,12.60,L. Fournette RB - JAX ,12.10,D. Baldwin WR - SEA ,4.40,M. Thomas WR - NO ,8.90,D. Walker TE - TEN ,12.20,T. West RB - BAL ,10.50,W. Lutz K - NO ,8.00,Rams DEF ,2.00,L. Blount RB - PHI ,0.00,A. Jeffery WR - PHI ,15.20,T. Rawls RB - SEA ,0.40,C. Davis WR - TEN ,0.40,J. Mixon RB - CIN ,4.10,Vikings DEF ,2.00,83.70,Simi,83.72
Simi,1,R. Wilson QB - SEA ,15.32,J. Howard RB - CHI ,0.70,K. Hunt RB - KC ,22.90,D. Bryant WR - DAL ,11.90,A. Brown WR - PIT ,6.20,G. Olsen TE - CAR ,1.00,I. Crowell RB - CLE ,3.70,M. Bryant K - ATL ,14.00,Seahawks DEF ,8.00,M. Ingram RB - NO ,7.60,B. Marshall WR - NYG ,1.70,D. Hopkins WR - HOU ,7.30,L. Murray RB - MIN ,0.60,D. Moncrief WR - IND ,1.80,A. Hooper TE - ATL ,0.70,83.72,Marv,83.70
Tommy,7,D. Carr QB - LV ,21.20,C. Thompson RB - WAS ,22.60,T. Gurley RB - LA ,23.60,M. Evans WR - TB ,15.30,O. Beckham WR - NYG ,3.60,R. Gronkowski TE - NE ,17.60,D. Jackson WR - TB ,3.90,M. Crosby K - GB ,5.00,Texans DEF ,9.00,M. Forte RB - NYJ ,9.10,B. Powell RB - NYJ ,1.30,R. Matthews WR - TEN ,4.30,T. Coleman RB - ATL ,10.50,J. Ross WR - CIN ,-0.80,-,-,121.80,Benni,71.84
Juschka,4,M. Ryan QB - ATL ,14.88,D. Freeman RB - ATL ,22.00,M. Gordon RB - LAC ,13.80,G. Tate WR - DET ,2.50,J. Landry WR - MIA ,7.10,K. Rudolph TE - MIN ,4.50,M. Lynch RB - LV ,10.90,B. McManus K - DEN ,6.00,Steelers DEF ,8.00,J. Stewart RB - CAR ,4.00,D. Thomas WR - DEN ,7.10,K. Benjamin WR - BUF ,7.70,D. Adams WR - GB ,15.90,W. Snead WR - NO ,0.00,P. Perkins RB - NYG ,2.20,89.68,Erik,98.46
Kessi,5,A. Rodgers QB - GB ,18.52,D. Murray RB - TEN ,2.80,T. Cohen RB - CHI ,4.80,J. Jones WR - ATL ,10.80,T. Hill WR - KC ,4.90,J. Graham TE - SEA ,0.10,L. Fitzgerald WR - ARI ,2.10,J. Tucker K - BAL ,6.00,Chiefs DEF ,11.00,M. Bennett TE - NE ,4.70,M. Wallace WR - BAL ,0.70,M. Gillislee RB - NE ,12.90,J. Hill RB - CIN ,1.90,J. White RB - NE ,9.60,T. Williams WR - LAC ,5.40,61.02,Ritz,106.68
