Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,6,D. Brees QB - NO ,11.54,D. Martin RB - TB ,14.40,A. Jones RB - GB ,4.20,J. Nelson WR - GB ,6.00,C. Hogan WR - NE ,1.90,Z. Ertz TE - PHI ,13.80,T. Hilton WR - IND ,1.90,J. Elliott K - PHI ,10.00,Jaguars DEF ,5.00,D. McFadden RB ,0.00,B. Cooks WR - NE ,9.30,D. Johnson RB - ARI ,0.00,C. McCaffrey RB - CAR ,12.40,A. Kamara RB - NO ,8.70,M. Williams WR - LAC ,1.50,68.74,Ritz,86.08
Erik,7,M. Stafford QB - DET ,14.88,L. Bell RB - PIT ,25.10,D. Johnson RB - CLE ,3.90,T. Pryor WR - WAS ,2.30,R. Matthews WR - TEN ,6.90,T. Kelce TE - KC ,3.70,C. Anderson RB - DEN ,1.70,S. Gostkowski K - NE ,6.00,Broncos DEF ,4.00,A. Luck QB - IND ,0.00,A. Morris RB - DAL ,0.00,T. Montgomery RB - GB ,3.10,A. Cooper WR - LV ,2.80,S. Diggs WR - MIN ,0.00,E. Elliott RB - DAL ,0.00,68.48,Marv,88.40
Ritz,1,T. Brady QB - NE ,16.18,L. Miller RB - HOU ,8.10,A. Abdullah RB - DET ,5.40,M. Crabtree WR - LV ,11.20,K. Allen WR - LAC ,4.50,R. Griffin TE - HOU ,7.20,P. Garcon WR - SF ,5.50,M. Prater K - DET ,8.00,Rams DEF ,20.00,L. McCoy RB - BUF ,0.00,A. Green WR - CIN ,0.00,F. Gore RB - IND ,6.70,J. Landry WR - MIA ,12.20,C. Hyde RB - SF ,19.50,W. Fuller WR - HOU ,12.20,86.08,Benni,68.74
Marv,3,K. Cousins QB - WAS ,27.80,J. Ajayi RB - PHI ,13.00,L. Fournette RB - JAX ,19.80,D. Funchess WR - CAR ,3.60,M. Thomas WR - NO ,1.10,D. Walker TE - TEN ,1.40,L. Blount RB - PHI ,8.70,W. Lutz K - NO ,10.00,Falcons DEF ,3.00,D. Baldwin WR - SEA ,0.00,A. Jeffery WR - PHI ,7.10,A. Thielen WR - MIN ,9.60,M. Mariota QB - TEN ,14.24,J. Mixon RB - CIN ,0.00,Vikings DEF ,14.00,88.40,Erik,68.48
Simi,2,C. Newton QB - CAR ,20.66,J. Howard RB - CHI ,17.60,K. Hunt RB - KC ,11.00,A. Brown WR - PIT ,21.50,D. Hopkins WR - HOU ,7.90,K. Rudolph TE - MIN ,4.70,M. Ingram RB - NO ,25.00,M. Bryant K - ATL ,7.00,Ravens DEF ,20.00,D. Bryant WR - DAL ,0.00,R. Wilson QB - SEA ,0.00,J. Reed TE - WAS ,3.70,D. Moncrief WR - IND ,6.70,I. Crowell RB - CLE ,7.30,Seahawks DEF ,0.00,135.36,Kessi,90.30
Tommy,5,D. Carr QB - LV ,6.84,C. Thompson RB - WAS ,13.80,T. Gurley RB - LA ,12.00,S. Watkins WR - LA ,1.10,M. Evans WR - TB ,15.50,R. Gronkowski TE - NE ,20.30,D. Jackson WR - TB ,9.80,G. Zuerlein K - LA ,11.00,Packers DEF ,4.00,D. Amendola WR - NE ,4.00,A. Ellington RB - HOU ,0.00,O. Beckham WR - NYG ,0.00,T. Coleman RB - ATL ,9.60,N. Agholor WR - PHI ,11.50,D. Prescott QB - DAL ,0.00,94.34,Juschka,104.24
Juschka,4,A. Smith QB - KC ,15.14,D. Freeman RB - ATL ,7.90,M. Gordon RB - LAC ,27.00,K. Benjamin WR - BUF ,9.90,D. Adams WR - GB ,11.40,C. Brate TE - TB ,13.60,M. Lynch RB - LV ,6.30,G. Tavecchio K - LV ,4.00,Steelers DEF ,9.00,M. Ryan QB - ATL ,11.92,J. Stewart RB - CAR ,-0.40,G. Tate WR - DET ,15.60,D. Thomas WR - DEN ,11.30,C. Fleener TE - NO ,0.00,W. Snead WR - NO ,1.10,104.24,Tommy,94.34
Kessi,8,D. Watson QB - HOU ,23.30,D. Murray RB - TEN ,14.70,J. Allen RB - BAL ,6.60,J. Jones WR - ATL ,7.20,T. Hill WR - KC ,2.50,M. Bennett TE - NE ,2.20,L. Fitzgerald WR - ARI ,17.80,J. Tucker K - BAL ,12.00,Chiefs DEF ,4.00,J. Charles RB - DEN ,2.10,J. Graham TE - SEA ,0.00,A. Rodgers QB - GB ,0.72,M. Wallace WR - BAL ,3.00,T. Williams WR - LAC ,0.70,T. Cohen RB - CHI ,7.44,90.30,Simi,135.36
