Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,4,A. Rodgers QB - GB ,21.90,C. Ivory RB - JAX ,4.20,J. Ajayi RB - PHI ,8.90,J. Nelson WR - GB ,2.80,J. Gordon WR - CLE ,4.70,D. Walker TE - TEN ,7.70,M. Davis RB - SEA ,3.90,C. Boswell K - PIT ,8.00,Jaguars DEF ,10.00,D. Lewis RB - NE ,14.00,D. Brees QB - NO ,17.14,B. Roethlisberger QB - PIT ,18.24,R. Burkhead RB - NE ,7.70,B. Cooks WR - NE ,12.00,L. Fournette RB - JAX ,0.00,72.10,Simi,101.18
Erik,3,C. Newton QB - CAR ,31.48,L. Bell RB - PIT ,22.50,A. Collins RB - BAL ,5.20,A. Jeffery WR - PHI ,10.90,D. Funchess WR - CAR ,1.90,T. Kelce TE - KC ,4.60,A. Morris RB - DAL ,6.10,S. Gostkowski K - NE ,7.00,Ravens DEF ,20.00,M. Sanu WR - ATL ,2.60,G. Bernard RB - CIN ,10.30,R. Woods WR - LA ,10.50,S. Diggs WR - MIN ,9.70,E. Elliott RB - DAL ,0.00,E. Engram TE - NYG ,10.10,109.68,Ritz,75.72
Ritz,2,T. Brady QB - NE ,15.72,L. McCoy RB - BUF ,21.60,C. Hyde RB - SF ,3.90,A. Green WR - CIN ,3.00,K. Allen WR - LAC ,5.40,H. Henry TE - LAC ,2.80,L. Miller RB - HOU ,3.30,M. Prater K - DET ,8.00,Lions DEF ,12.00,M. Crabtree WR - LV ,15.90,G. Olsen TE - CAR ,17.60,F. Gore RB - IND ,6.80,T. Hilton WR - IND ,4.10,J. Landry WR - MIA ,9.90,Chargers DEF ,0.00,75.72,Erik,109.68
Marv,5,P. Rivers QB - LAC ,7.08,A. Kamara RB - NO ,14.90,S. Perine RB - WAS ,6.60,A. Thielen WR - MIN ,3.00,M. Thomas WR - NO ,15.30,Z. Ertz TE - PHI ,11.60,D. Baldwin WR - SEA ,0.60,W. Lutz K - NO ,7.00,Saints DEF ,6.00,J. Witten TE - DAL ,4.70,M. Jones WR - DET ,8.50,D. Johnson RB - CLE ,10.30,M. Mariota QB - TEN ,18.04,J. Mixon RB - CIN ,0.00,Vikings DEF ,17.00,72.08,Juschka,124.94
Simi,1,R. Wilson QB - SEA ,11.58,M. Ingram RB - NO ,27.10,K. Hunt RB - KC ,32.60,D. Bryant WR - DAL ,5.50,A. Brown WR - PIT ,2.40,K. Rudolph TE - MIN ,7.70,J. Howard RB - CHI ,6.30,M. Bryant K - ATL ,8.00,Seahawks DEF ,0.00,D. Hopkins WR - HOU ,14.00,P. Richardson WR - SEA ,1.80,I. Crowell RB - CLE ,6.50,D. Henry RB - TEN ,2.80,Eagles DEF ,2.00,-,-,101.18,Benni,72.10
Tommy,7,D. Prescott QB - DAL ,13.68,T. Gurley RB - LA ,42.00,J. Williams RB - GB ,3.00,M. Evans WR - TB ,13.90,N. Agholor WR - PHI ,11.90,R. Gronkowski TE - NE ,18.80,C. Kupp WR - LA ,2.10,G. Zuerlein K - LA ,10.00,Steelers DEF ,4.00,D. Jackson WR - TB ,1.80,S. Watkins WR - LA ,1.40,M. Lee WR - JAX ,0.00,J. Garoppolo QB - SF ,18.64,T. Coleman RB - ATL ,0.00,S. Anderson TE - HOU ,0.00,119.38,Kessi,77.64
Juschka,8,A. Smith QB - KC ,18.54,D. Freeman RB - ATL ,25.40,M. Gordon RB - LAC ,22.90,G. Tate WR - DET ,3.30,D. Adams WR - GB ,11.70,C. Brate TE - TB ,4.90,M. Lynch RB - LV ,9.20,K. Forbath K - MIN ,12.00,Rams DEF ,17.00,M. Ryan QB - ATL ,15.38,D. Thomas WR - DEN ,6.90,K. Benjamin WR - BUF ,2.00,J. McKinnon RB - MIN ,13.80,J. Smith-Schuster WR - PIT ,11.40,R. Succop K - TEN ,13.00,124.94,Marv,72.08
Kessi,6,K. Cousins QB - WAS ,15.84,D. Murray RB - TEN ,6.30,L. Murray RB - MIN ,16.40,J. Jones WR - ATL ,5.40,T. Hill WR - KC ,14.80,J. Graham TE - SEA ,-0.10,L. Fitzgerald WR - ARI ,6.00,J. Tucker K - BAL ,9.00,Patriots DEF ,4.00,M. Stafford QB - DET ,17.38,D. Martin RB - TB ,0.00,K. Drake RB - MIA ,17.30,T. Cohen RB - CHI ,1.70,A. Ekeler RB - LAC ,-0.10,Chiefs DEF ,14.00,77.64,Tommy,119.38
