Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,5,D. Brees QB - NO ,15.64,D. Johnson RB - ARI ,7.00,C. McCaffrey RB - CAR ,6.50,J. Nelson WR - GB ,13.90,B. Cooks WR - NE ,8.80,J. Reed TE - WAS ,3.60,D. Cook RB - MIN ,13.70,D. Bailey K - DAL ,13.00,Steelers DEF ,16.00,A. Peterson RB - ARI ,1.80,T. Hilton WR - IND ,3.70,D. Martin RB - TB ,0.00,S. Watkins WR - LA ,5.80,M. Bryant WR - PIT ,1.40,D. Parker WR - MIA ,0.00,98.14,Marv,112.84
Erik,6,B. Roethlisberger QB - PIT ,15.72,L. Bell RB - PIT ,4.70,E. Elliott RB - DAL ,14.00,T. Pryor WR - WAS ,6.60,A. Cooper WR - LV ,12.20,T. Kelce TE - KC ,4.40,C. Anderson RB - DEN ,8.80,S. Gostkowski K - NE ,9.00,Broncos DEF ,3.00,D. McFadden RB ,0.00,J. Rodgers RB - TB ,0.00,A. Luck QB - IND ,0.00,J. Crowder WR - WAS ,-0.60,T. Montgomery RB - GB ,15.30,S. Diggs WR - MIN ,20.70,78.42,Simi,83.32
Ritz,7,T. Brady QB - NE ,10.68,L. McCoy RB - BUF ,15.90,L. Miller RB - HOU ,9.60,M. Crabtree WR - LV ,8.30,A. Green WR - CIN ,7.40,T. Eifert TE - CIN ,0.40,C. Hyde RB - SF ,7.70,C. Boswell K - PIT ,3.00,Bills DEF ,9.00,P. Garcon WR - SF ,8.10,D. Woodhead RB - BAL ,3.70,E. Sanders WR - DEN ,2.60,F. Gore RB - IND ,5.20,K. Allen WR - LAC ,9.50,A. Abdullah RB - DET ,4.10,71.98,Juschka,72.24
Marv,1,M. Mariota QB - TEN ,18.84,L. Blount RB - PHI ,10.70,L. Fournette RB - JAX ,18.40,D. Baldwin WR - SEA ,6.00,M. Thomas WR - NO ,4.50,D. Walker TE - TEN ,7.60,A. Jeffery WR - PHI ,5.80,W. Lutz K - NO ,13.00,Rams DEF ,28.00,E. Lacy RB - SEA ,0.30,T. West RB - BAL ,14.00,J. Ajayi RB - PHI ,0.00,C. Davis WR - TEN ,6.90,J. Mixon RB - CIN ,2.40,Vikings DEF ,2.00,112.84,Benni,98.14
Simi,2,R. Wilson QB - SEA ,8.32,I. Crowell RB - CLE ,8.60,J. Howard RB - CHI ,12.60,D. Bryant WR - DAL ,4.30,A. Brown WR - PIT ,18.20,G. Olsen TE - CAR ,1.80,D. Hopkins WR - HOU ,11.50,M. Bryant K - ATL ,11.00,Seahawks DEF ,7.00,E. Decker WR - TEN ,1.00,M. Ingram RB - NO ,7.10,B. Marshall WR - NYG ,1.00,L. Murray RB - MIN ,0.60,D. Moncrief WR - IND ,5.00,K. Hunt RB - KC ,40.60,83.32,Erik,78.42
Tommy,8,D. Carr QB - LV ,18.68,B. Powell RB - NYJ ,3.90,T. Gurley RB - LA ,15.60,R. Matthews WR - TEN ,7.10,A. Robinson WR - JAX ,1.70,R. Gronkowski TE - NE ,3.30,R. Kelley RB - WAS ,3.00,M. Crosby K - GB ,5.00,Texans DEF ,0.00,M. Forte RB - NYJ ,3.60,D. Jackson WR - TB ,0.00,M. Evans WR - TB ,0.00,O. Beckham WR - NYG ,0.00,T. Coleman RB - ATL ,5.80,J. Ross WR - CIN ,0.00,58.28,Kessi,68.54
Juschka,3,M. Ryan QB - ATL ,17.94,D. Freeman RB - ATL ,9.90,M. Gordon RB - LAC ,13.90,D. Thomas WR - DEN ,6.70,D. Adams WR - GB ,4.70,K. Rudolph TE - MIN ,8.60,P. Perkins RB - NYG ,2.50,B. McManus K - DEN ,6.00,Giants DEF ,2.00,J. Stewart RB - CAR ,14.20,G. Tate WR - DET ,11.40,M. Lynch RB - LV ,9.20,K. Benjamin WR - BUF ,2.50,J. Landry WR - MIA ,0.00,W. Snead WR - NO ,0.00,72.24,Ritz,71.98
Kessi,4,A. Rodgers QB - GB ,16.54,D. Murray RB - TEN ,6.00,J. Hill RB - CIN ,2.40,J. Jones WR - ATL ,6.60,T. Williams WR - LAC ,5.40,J. Graham TE - SEA ,0.80,T. Hill WR - KC ,19.80,J. Tucker K - BAL ,8.00,Chiefs DEF ,3.00,M. Bennett TE - NE ,4.30,L. Fitzgerald WR - ARI ,7.40,M. Wallace WR - BAL ,0.80,M. Gillislee RB - NE ,22.50,S. Ware RB - KC ,0.00,J. White RB - NE ,6.80,68.54,Tommy,58.28
